id,filename,sound_name,category,unity_folder,duration_seconds,requested_duration,loop,prompt,status,notes
011,invalid_tile_swap,Invalid tile swap,Board interaction,Board_Interaction,0.5,under 0.5 seconds,false,"Invalid tile swap. Create a friendly invalid move sound for a cozy mobile puzzle game, soft low boop with tiny wooden knock, not annoying, not harsh, playful but calm, under 0.5 seconds.",todo,
012,tile_return,Tile return,Board interaction,Board_Interaction,0.5,under 0.4 seconds,false,"Tile return. Create a short tile return sound for an invalid match-3 swap, soft reverse slide with gentle wooden tap, friendly and non-punishing, cozy puzzle game style, under 0.4 seconds.",todo,"Original requested under 0.4 seconds; ElevenLabs minimum duration is 0.5s, trim after generation if needed."
013,tile_falling,Tile falling,Board interaction,Board_Interaction,0.5,under 0.4 seconds,false,"Tile falling. Create a soft tile falling sound for a cozy match-3 puzzle game, gentle descending whoosh with small organic movement, light and subtle, no impact, under 0.4 seconds.",todo,"Original requested under 0.4 seconds; ElevenLabs minimum duration is 0.5s, trim after generation if needed."
014,tile_landing,Tile landing,Board interaction,Board_Interaction,0.5,under 0.35 seconds,false,"Tile landing. Create a soft tile landing sound for a cozy match-3 game, rounded bounce impact, gentle wooden board contact, warm and satisfying, not heavy, under 0.35 seconds.",todo,"Original requested under 0.35 seconds; ElevenLabs minimum duration is 0.5s, trim after generation if needed."
015,board_shuffle,Board shuffle,Board interaction,Board_Interaction,1.5,under 1.5 seconds,false,"Board shuffle. Create a board shuffle sound for a cozy forest match-3 game, many small soft tiles swirling and clicking gently, magical sparkle layer, polished mobile game style, under 1.5 seconds.",todo,
016,board_hint,Board hint,Board interaction,Board_Interaction,0.6,under 0.6 seconds,false,"Board hint. Create a soft hint sound for a cozy match-3 puzzle game, gentle sparkle ping with subtle magical shimmer, helpful but not intrusive, no vocals, under 0.6 seconds.",todo,
017,red_berry_match,Red berry match,Core match tiles,Core_Tiles,0.5,under 0.5 seconds,false,"Red berry match. Create a short red berry match sound for a cozy match-3 game, juicy soft fruit pop, sweet and satisfying, tiny sparkle finish, warm and playful, no vocals, under 0.5 seconds.",todo,
018,red_berry_collect,Red berry collect,Core match tiles,Core_Tiles,0.6,under 0.6 seconds,false,"Red berry collect. Create a short red berry collect sound for a cozy puzzle game, tiny juicy fruit pop flying into a goal panel with soft sparkle finish, satisfying and warm, under 0.6 seconds.",todo,
019,blueberry_match,Blueberry match,Core match tiles,Core_Tiles,0.5,under 0.5 seconds,false,"Blueberry match. Create a short blueberry match sound, round bouncy berry pop with soft plop texture, cozy forest puzzle game style, slightly deeper than red berry, polished and gentle, under 0.5 seconds.",todo,
020,blueberry_cascade_bonus,Blueberry cascade bonus,Core match tiles,Core_Tiles,0.7,under 0.7 seconds,false,"Blueberry cascade bonus. Create a short blueberry cascade bonus sound, bouncy blue pop with rising sparkle and soft combo energy, cozy match-3 puzzle style, under 0.7 seconds.",todo,
021,green_leaf_match,Green leaf match,Core match tiles,Core_Tiles,0.6,under 0.6 seconds,false,"Green leaf match. Create a short green leaf match sound for a cozy magical forest puzzle game, soft leafy rustle with tiny wind swirl, light airy swoosh, natural and pleasant, under 0.6 seconds.",todo,
022,green_leaf_wind_swirl,Green leaf wind swirl,Core match tiles,Core_Tiles,0.7,under 0.7 seconds,false,"Green leaf wind swirl. Create a short leaf wind swirl sound, gentle spinning leaf whoosh with soft forest air and tiny sparkle, cozy puzzle game style, under 0.7 seconds.",todo,
023,pink_flower_match,Pink flower match,Core match tiles,Core_Tiles,0.7,under 0.7 seconds,false,"Pink flower match. Create a short pink flower match sound, soft bloom opening with gentle petal flutter and tiny magical sparkle, cozy forest puzzle game style, warm and delicate, under 0.7 seconds.",todo,
024,pink_flower_cleanse,Pink flower cleanse,Core match tiles,Core_Tiles,0.7,under 0.7 seconds,false,"Pink flower cleanse. Create a short flower cleanse sound, soft pollen sparkle with gentle magical bloom, cozy forest puzzle game style, clean and satisfying, under 0.7 seconds.",todo,
025,white_daisy_match,White daisy match,Core match tiles,Core_Tiles,0.6,under 0.6 seconds,false,"White daisy match. Create a short white daisy match sound, clean gentle sparkle chime with soft petal burst, pure and bright but not sharp, cozy magical puzzle game style, under 0.6 seconds.",todo,
026,white_daisy_cleanse,White daisy cleanse,Core match tiles,Core_Tiles,0.7,under 0.7 seconds,false,"White daisy cleanse. Create a short white daisy cleanse sound, pure soft chime with bright magical sparkle and gentle petal motion, cozy puzzle game style, under 0.7 seconds.",todo,
027,mushroom_match,Mushroom match,Core match tiles,Core_Tiles,0.6,under 0.6 seconds,false,"Mushroom match. Create a short mushroom match sound for a cozy forest puzzle game, soft rubbery bounce followed by tiny spore puff, playful organic texture, warm and subtle, under 0.6 seconds.",todo,
028,mushroom_spore_puff,Mushroom spore puff,Core match tiles,Core_Tiles,0.6,under 0.6 seconds,false,"Mushroom spore puff. Create a short mushroom spore puff sound, soft airy puff with tiny organic particles and playful forest texture, cozy puzzle game style, under 0.6 seconds.",todo,
029,acorn_match,Acorn match,Core match tiles,Core_Tiles,0.6,under 0.6 seconds,false,"Acorn match. Create a short acorn match sound, small wooden nut crack and soft shell pop, cozy forest puzzle style, slightly heavier than berry sounds, satisfying but gentle, under 0.6 seconds.",todo,
030,acorn_collect,Acorn collect,Core match tiles,Core_Tiles,0.6,under 0.6 seconds,false,"Acorn collect. Create a short acorn collect sound, small acorn dropping into a basket with soft wooden tap and warm sparkle, cozy forest puzzle style, under 0.6 seconds.",todo,
031,bear_tile_match,Bear tile match,Helper / character tiles,Helper_Characters,0.8,under 0.8 seconds,false,"Bear tile match. Create a short bear helper tile match sound for a cozy forest puzzle game, soft happy bear-like chirp or warm cute reaction mixed with gentle pop, no actual words, friendly and premium, under 0.8 seconds.",todo,
032,bear_paw_swipe,Bear paw swipe,Helper / character tiles,Helper_Characters,0.7,under 0.7 seconds,false,"Bear paw swipe. Create a bear paw swipe sound for a cozy match-3 game, soft furry swipe with gentle impact sparkle, friendly helper action, not aggressive, warm and cute, under 0.7 seconds.",todo,
033,bear_paw_impact,Bear paw impact,Helper / character tiles,Helper_Characters,0.6,under 0.6 seconds,false,"Bear paw impact. Create a short bear paw impact sound, soft padded impact with tiny magical sparkle and warm helper feedback, cozy forest puzzle style, under 0.6 seconds.",todo,
034,bee_tile_match,Bee tile match,Helper / character tiles,Helper_Characters,0.6,under 0.6 seconds,false,"Bee tile match. Create a short bee tile match sound, tiny friendly bee buzz with soft sparkle pop, cozy honey forest puzzle game style, pleasant and not annoying, under 0.6 seconds.",todo,
035,bee_fly_to_target,Bee fly to target,Helper / character tiles,Helper_Characters,0.9,under 0.9 seconds,false,"Bee fly to target. Create a short bee flying helper sound, gentle tiny wing buzz moving from left to right with soft magical trail, cozy forest puzzle game style, no harsh buzzing, under 0.9 seconds.",todo,
036,bee_pollinate,Bee pollinate,Helper / character tiles,Helper_Characters,0.7,under 0.7 seconds,false,"Bee pollinate. Create a short bee pollination sound, soft pollen sparkle burst with tiny wing flutter, warm honey forest puzzle game style, gentle and satisfying, under 0.7 seconds.",todo,
037,bee_honey_hit,Bee honey hit,Helper / character tiles,Helper_Characters,0.7,under 0.7 seconds,false,"Bee honey hit. Create a short bee honey hit sound, tiny friendly buzz landing on a honey pot with sticky golden sparkle, cozy puzzle game style, under 0.7 seconds.",todo,
038,moss_hit,Moss hit,Blockers,Blockers,0.5,under 0.5 seconds,false,"Moss hit. Create a moss blocker hit sound for a cozy forest match-3 game, soft leafy thump with small bits of moss falling, organic and gentle, not harsh, under 0.5 seconds.",todo,
039,moss_removed,Moss removed,Blockers,Blockers,0.8,under 0.8 seconds,false,"Moss removed. Create a moss blocker removal sound, soft leafy dissolve with clean sparkle finish, cozy magical forest puzzle style, satisfying clear feedback, under 0.8 seconds.",todo,
040,covered_moss_crack,Covered moss crack,Blockers,Blockers,0.6,under 0.6 seconds,false,"Covered moss crack. Create a covered moss crack sound, soft thick vegetation tearing and cracking gently, layered organic texture, cozy puzzle game style, under 0.6 seconds.",todo,
041,covered_moss_layer_removed,Covered moss layer removed,Blockers,Blockers,0.8,under 0.8 seconds,false,"Covered moss layer removed. Create a covered moss layer removal sound, thick soft moss peeling away with leafy particles and gentle clean sparkle, cozy puzzle style, under 0.8 seconds.",todo,
042,ice_hit,Ice hit,Blockers,Blockers,0.5,under 0.5 seconds,false,"Ice hit. Create an ice blocker hit sound for a cozy puzzle game, light crystal tap with soft frosty crack, clean and bright, not sharp or painful, under 0.5 seconds.",todo,
043,ice_break,Ice break,Blockers,Blockers,0.8,under 0.8 seconds,false,"Ice break. Create an ice blocker break sound, delicate ice shards cracking and scattering with a soft magical shimmer, cozy mobile puzzle game style, polished and satisfying, under 0.8 seconds.",todo,
044,vine_hit,Vine hit,Blockers,Blockers,0.5,under 0.5 seconds,false,"Vine hit. Create a vine blocker hit sound, soft plant fiber tension with leafy rustle and tiny snap, cozy forest puzzle game style, under 0.5 seconds.",todo,
045,vine_cut,Vine cut,Blockers,Blockers,0.5,under 0.5 seconds,false,"Vine cut. Create a vine blocker cut sound, soft plant fiber snap with leafy rustle, cozy forest puzzle game style, clean and readable, under 0.5 seconds.",todo,
046,pebble_hit,Pebble hit,Blockers,Blockers,0.5,under 0.5 seconds,false,"Pebble hit. Create a pebble blocker hit sound, small rounded stone impact with tiny dust, soft and not harsh, cozy casual puzzle game style, under 0.5 seconds.",todo,
047,pebble_break,Pebble break,Blockers,Blockers,0.8,under 0.8 seconds,false,"Pebble break. Create a pebble blocker break sound, small stone crack and crumble with soft dust particles, satisfying but gentle, cozy forest puzzle style, under 0.8 seconds.",todo,
048,basket_collect,Basket collect,Objectives,Objectives,0.6,under 0.6 seconds,false,"Basket collect. Create a basket collect sound for a cozy match-3 game, small fruit drops into wicker basket, soft wooden/rattan texture, satisfying and warm, under 0.6 seconds.",todo,
049,basket_fill,Basket fill,Objectives,Objectives,0.7,under 0.7 seconds,false,"Basket fill. Create a basket fill sound, several tiny fruit pieces settling into a wicker basket with warm sparkle, cozy forest puzzle style, under 0.7 seconds.",todo,
050,basket_complete,Basket complete,Objectives,Objectives,1,under 1 seconds,false,"Basket complete. Create a basket objective complete sound, warm little chime with soft fruit sparkle and wicker basket finish, cozy forest puzzle style, happy but not loud, under 1 second.",todo,
051,honey_pot_hit,Honey pot hit,Objectives,Objectives,0.5,under 0.5 seconds,false,"Honey pot hit. Create a honey pot hit sound, soft ceramic tap with sticky honey wobble, cozy honey forest puzzle game style, warm and playful, under 0.5 seconds.",todo,
052,honey_pot_open,Honey pot open,Objectives,Objectives,0.9,under 0.9 seconds,false,"Honey pot open. Create a honey pot opening sound, small ceramic lid pop with sticky golden honey drip and magical sparkle, cozy puzzle game style, under 0.9 seconds.",todo,
053,honey_collect,Honey collect,Objectives,Objectives,0.7,under 0.7 seconds,false,"Honey collect. Create a honey collect sound, warm sticky honey swirl with soft sparkle and gentle coin-like satisfaction, cozy forest puzzle game style, under 0.7 seconds.",todo,
054,acorn_nest_fill,Acorn nest fill,Objectives,Objectives,0.6,under 0.6 seconds,false,"Acorn nest fill. Create an acorn nest fill sound, small acorns dropping into a soft nest or wooden basket, gentle natural texture, cozy forest puzzle style, under 0.6 seconds.",todo,
055,acorn_nest_complete,Acorn nest complete,Objectives,Objectives,1,under 1 seconds,false,"Acorn nest complete. Create an acorn nest objective complete sound, warm natural chime with small acorns settling and soft forest sparkle, cozy puzzle game style, under 1 second.",todo,
056,berry_bomb_charge,Berry bomb charge,Specials,Specials,0.8,under 0.8 seconds,false,"Berry bomb charge. Create a berry bomb charge sound for a cozy match-3 game, playful rising energy with berry fizz and tiny sparkles, not dangerous, warm and fun, under 0.8 seconds.",todo,
057,berry_bomb_explosion,Berry bomb explosion,Specials,Specials,1,under 1 seconds,false,"Berry bomb explosion. Create a berry bomb explosion sound, juicy fruit burst mixed with soft magical impact, playful and satisfying, non-violent, cozy mobile puzzle game style, under 1 second.",todo,
058,rocket_charge,Rocket charge,Specials,Specials,0.7,under 0.7 seconds,false,"Rocket charge. Create a striped berry rocket charge sound, playful tiny rocket preparing to launch, soft rising whoosh with berry sparkle, cozy puzzle game style, under 0.7 seconds.",todo,
059,rocket_fire_horizontal,Rocket fire horizontal,Specials,Specials,0.9,under 0.9 seconds,false,"Rocket fire horizontal. Create a horizontal rocket fire sound for a cozy match-3 game, fast left-to-right whoosh with soft berry sparkle trail, energetic but not harsh, under 0.9 seconds.",todo,
060,rocket_fire_vertical,Rocket fire vertical,Specials,Specials,0.9,under 0.9 seconds,false,"Rocket fire vertical. Create a vertical rocket fire sound for a cozy match-3 game, fast upward magical whoosh with soft berry sparkle trail, energetic but not harsh, under 0.9 seconds.",todo,
061,rainbow_orb_charge,Rainbow orb charge,Specials,Specials,1,under 1 seconds,false,"Rainbow orb charge. Create a rainbow orb charge sound, premium magical rising shimmer with soft crystal tones and gentle sparkle, cozy forest puzzle game style, no vocals, under 1 second.",todo,
062,rainbow_orb_beam,Rainbow orb beam,Specials,Specials,1.2,under 1.2 seconds,false,"Rainbow orb beam. Create a rainbow orb beam sound, magical rainbow energy beam connecting to multiple tiles, soft shimmering sweep, premium mobile puzzle style, not sci-fi harsh, under 1.2 seconds.",todo,
063,rainbow_orb_clear,Rainbow orb clear,Specials,Specials,1.5,under 1.5 seconds,false,"Rainbow orb clear. Create a rainbow full color clear sound for a cozy match-3 game, sweeping magical wave with many soft tile pops and sparkling finish, satisfying premium payoff, under 1.5 seconds.",todo,
064,rainbow_flower_bloom,Rainbow flower bloom,Specials,Specials,1.3,under 1.3 seconds,false,"Rainbow flower bloom. Create a rainbow flower activation sound, large magical bloom opening with soft petal waves, warm sparkles and gentle forest magic, premium cozy puzzle game style, under 1.3 seconds.",todo,
065,rainbow_flower_cleanse_hit,Rainbow flower cleanse hit,Specials,Specials,0.8,under 0.8 seconds,false,"Rainbow flower cleanse hit. Create a rainbow flower cleanse hit sound, warm magical pollen beam landing on a blocker with soft sparkle and clean impact, cozy puzzle style, under 0.8 seconds.",todo,
066,super_berry_activate,Super berry activate,Specials,Specials,1.2,under 1.2 seconds,false,"Super berry activate. Create a super berry activation sound, powerful juicy berry energy burst with magical cross-beam sparkle, playful premium match-3 style, non-violent, under 1.2 seconds.",todo,
067,super_berry_cross_beam,Super berry cross beam,Specials,Specials,1.2,under 1.2 seconds,false,"Super berry cross beam. Create a super berry cross beam sound, bright juicy energy sweeping horizontally and vertically with soft magical sparkle, cozy puzzle game style, under 1.2 seconds.",todo,
068,bomb_bomb_combo,Bomb bomb combo,Special combos,Special_Combos,1.4,under 1.4 seconds,false,"Bomb bomb combo. Create a large berry bomb combo sound, bigger juicy fruit explosion with soft magical shockwave and playful sparkle, satisfying but not aggressive, cozy match-3 style, under 1.4 seconds.",todo,
069,rocket_rocket_combo,Rocket rocket combo,Special combos,Special_Combos,1.4,under 1.4 seconds,false,"Rocket rocket combo. Create a double rocket combo sound, two magical berry rockets firing in crossing directions with fast soft whooshes and sparkling trails, cozy mobile puzzle game style, under 1.4 seconds.",todo,
070,bomb_rocket_combo,Bomb rocket combo,Special combos,Special_Combos,1.6,under 1.6 seconds,false,"Bomb rocket combo. Create a bomb plus rocket combo sound, juicy berry burst launching a powerful row and column clear with soft whoosh and magical sparkle, cozy match-3 style, under 1.6 seconds.",todo,
071,rainbow_bomb_combo,Rainbow bomb combo,Special combos,Special_Combos,2,under 2 seconds,false,"Rainbow bomb combo. Create a rainbow plus bomb combo sound, magical rainbow energy converts tiles into berry bombs then triggers a chain of juicy soft explosions, premium cozy puzzle payoff, under 2 seconds.",todo,
072,rainbow_rocket_combo,Rainbow rocket combo,Special combos,Special_Combos,2,under 2 seconds,false,"Rainbow rocket combo. Create a rainbow plus rocket combo sound, shimmering rainbow magic transforms tiles into rockets and launches many soft whooshing trails, exciting but polished, under 2 seconds.",todo,
073,rainbow_rainbow_combo,Rainbow rainbow combo,Special combos,Special_Combos,2.2,under 2.2 seconds,false,"Rainbow rainbow combo. Create an ultimate rainbow combo sound, huge magical board-clearing wave with crystal shimmer, soft sparkles, warm rising payoff, premium mobile puzzle game style, under 2.2 seconds.",todo,
074,shovel_select,Shovel select,Boosters,Boosters,0.5,under 0.4 seconds,false,"Shovel select. Create a shovel booster select sound, soft wooden tool pickup with tiny sparkle, cozy forest puzzle game style, clear and friendly, under 0.4 seconds.",todo,"Original requested under 0.4 seconds; ElevenLabs minimum duration is 0.5s, trim after generation if needed."
075,shovel_impact,Shovel impact,Boosters,Boosters,0.6,under 0.6 seconds,false,"Shovel impact. Create a shovel impact sound, small garden shovel hitting soil or tile with soft dirt particles, cozy forest puzzle game style, not metallic or harsh, under 0.6 seconds.",todo,
076,shovel_invalid_target,Shovel invalid target,Boosters,Boosters,0.5,under 0.5 seconds,false,"Shovel invalid target. Create a shovel invalid target sound, friendly muted wooden tap with soft low boop, cozy puzzle game style, not annoying or harsh, under 0.5 seconds.",todo,
077,hammer_select,Hammer select,Boosters,Boosters,0.5,under 0.4 seconds,false,"Hammer select. Create a hammer booster select sound, soft tool pickup with gentle wooden click and small sparkle, cozy casual puzzle style, under 0.4 seconds.",todo,"Original requested under 0.4 seconds; ElevenLabs minimum duration is 0.5s, trim after generation if needed."
078,hammer_impact,Hammer impact,Boosters,Boosters,0.6,under 0.6 seconds,false,"Hammer impact. Create a hammer booster impact sound, rounded soft impact breaking a tile or blocker, satisfying but not harsh, cozy match-3 puzzle style, under 0.6 seconds.",todo,
079,magic_glove_swap,Magic glove swap,Boosters,Boosters,0.8,under 0.8 seconds,false,"Magic glove swap. Create a magic glove swap sound, soft magical hand movement with two tiles gently switching places, airy sparkle and light whoosh, cozy puzzle game style, under 0.8 seconds.",todo,
080,paint_brush_transform,Paint brush transform,Boosters,Boosters,0.8,under 0.8 seconds,false,"Paint brush transform. Create a paint brush booster sound, soft brush stroke with magical paint splash transforming a tile, colorful sparkle, cozy mobile puzzle game style, under 0.8 seconds.",todo,
081,match_4_special_created,Match 4 special created,Combo / score feedback,Combo_Score,0.7,under 0.7 seconds,false,"Match 4 special created. Create a match-4 special creation sound, satisfying soft sparkle rise with tiny magical pop, cozy match-3 game style, rewarding but short, under 0.7 seconds.",todo,
082,match_5_special_created,Match 5 special created,Combo / score feedback,Combo_Score,1,under 1 seconds,false,"Match 5 special created. Create a match-5 special creation sound, bigger magical reward chime with soft rainbow sparkle and warm rising tone, premium cozy puzzle style, under 1 second.",todo,
083,cascade_combo_2,Cascade combo 2,Combo / score feedback,Combo_Score,0.5,under 0.5 seconds,false,"Cascade combo 2. Create a cascade combo level 2 sound, quick cheerful sparkle pop, slightly rising pitch, cozy match-3 style, under 0.5 seconds.",todo,
084,cascade_combo_3_plus,Cascade combo 3 plus,Combo / score feedback,Combo_Score,0.8,under 0.8 seconds,false,"Cascade combo 3 plus. Create a cascade combo level 3 plus sound, energetic rising sparkle sequence with soft pops, exciting but not loud, cozy puzzle game style, under 0.8 seconds.",todo,
085,score_tick,Score tick,Combo / score feedback,Combo_Score,0.5,under 0.5 seconds,true,"Score tick. Create a score counting tick sound, tiny soft coin-like ticks, warm and polished, suitable for mobile puzzle score counting, loopable, under 0.5 seconds.",todo,
086,level_start,Level start,Level states,Level_States,1,under 1 seconds,false,"Level start. Create a level start sound for a cozy forest match-3 game, soft magical ready chime with gentle wooden board reveal, warm and inviting, under 1 second.",todo,
087,objective_complete,Objective complete,Level states,Level_States,1,under 1 seconds,false,"Objective complete. Create an objective complete sound, satisfying warm sparkle chime with soft upward motion, cozy mobile puzzle style, positive but not too loud, under 1 second.",todo,
088,low_moves_warning,Low moves warning,Level states,Level_States,0.8,under 0.8 seconds,false,"Low moves warning. Create a low moves warning sound, gentle concerned chime with soft low pulse, friendly and non-stressful, cozy puzzle game style, under 0.8 seconds.",todo,
089,last_move_warning,Last move warning,Level states,Level_States,0.8,under 0.8 seconds,false,"Last move warning. Create a last move warning sound, soft urgent but friendly chime with gentle low pulse, not scary, cozy puzzle game style, under 0.8 seconds.",todo,
090,level_win,Level win,Level states,Level_States,4,3 to 5 seconds,false,"Level win. Create a level win fanfare for a cozy magical forest puzzle game, short happy celebration with warm bells, soft marimba, sparkles and friendly energy, no vocals, 3 to 5 seconds.",todo,
091,level_failed,Level failed,Level states,Level_States,2,under 2 seconds,false,"Level failed. Create a gentle level failed sound, soft descending chime with warm supportive tone, not punishing, cozy mobile puzzle style, under 2 seconds.",todo,
092,three_stars,Three stars,Level states,Level_States,2,under 2 seconds,false,"Three stars. Create a three-star reward sound, three bright warm star chimes rising in pitch with magical sparkle finish, cozy premium mobile puzzle game style, under 2 seconds.",todo,
093,coin_collect,Coin collect,Rewards / economy,Rewards_Economy,0.5,under 0.5 seconds,false,"Coin collect. Create a coin collect sound, soft golden coin sparkle with warm wooden undertone, cozy puzzle game economy feedback, satisfying but not sharp, under 0.5 seconds.",todo,
094,coin_count_loop,Coin count loop,Rewards / economy,Rewards_Economy,1,under 1 seconds,true,"Coin count loop. Create a coin counting loop sound, tiny warm golden ticks with soft sparkle, seamless and satisfying for reward counting, cozy mobile puzzle style, under 1 second.",todo,
095,star_appear,Star appear,Rewards / economy,Rewards_Economy,0.6,under 0.6 seconds,false,"Star appear. Create a star appear sound, warm magical star chime with tiny sparkle trail, premium cozy puzzle style, under 0.6 seconds.",todo,
096,trophy_gain,Trophy gain,Rewards / economy,Rewards_Economy,1,under 1 seconds,false,"Trophy gain. Create a trophy gain sound, small victorious brass-like chime mixed with soft sparkle, friendly mobile game style, not loud, under 1 second.",todo,
097,honey_token_gain,Honey token gain,Rewards / economy,Rewards_Economy,0.7,under 0.7 seconds,false,"Honey token gain. Create a honey token reward sound, sticky golden sparkle with soft coin chime and warm honey feel, cozy puzzle event style, under 0.7 seconds.",todo,
098,cosmetic_shard_gain,Cosmetic shard gain,Rewards / economy,Rewards_Economy,0.7,under 0.7 seconds,false,"Cosmetic shard gain. Create a cosmetic shard reward sound, delicate crystal sparkle with soft magical shimmer, cozy wardrobe reward style, under 0.7 seconds.",todo,
099,booster_fragment_gain,Booster fragment gain,Rewards / economy,Rewards_Economy,0.7,under 0.7 seconds,false,"Booster fragment gain. Create a booster fragment reward sound, small magical puzzle piece click with sparkle, cozy mobile puzzle game style, under 0.7 seconds.",todo,
100,key_gain,Key gain,Rewards / economy,Rewards_Economy,0.7,under 0.7 seconds,false,"Key gain. Create a key reward sound, tiny golden key jingle with warm sparkle, cozy forest puzzle game style, under 0.7 seconds.",todo,
101,chest_appear,Chest appear,Chests,Chests,0.8,under 0.8 seconds,false,"Chest appear. Create a treasure chest appear sound, soft magical poof with wooden chest presence and tiny sparkles, cozy mobile puzzle game style, under 0.8 seconds.",todo,
102,small_chest_open,Small chest open,Chests,Chests,1.2,under 1.2 seconds,false,"Small chest open. Create a small reward chest opening sound, gentle wooden creak, soft latch click and small sparkle burst, cozy puzzle game style, under 1.2 seconds.",todo,
103,star_chest_open,Star chest open,Chests,Chests,1.5,under 1.5 seconds,false,"Star chest open. Create a star chest opening sound, warm wooden chest open with bright star chimes and soft magical sparkle, cozy puzzle reward style, under 1.5 seconds.",todo,
104,friend_chest_open,Friend chest open,Chests,Chests,1.5,under 1.5 seconds,false,"Friend chest open. Create a friend challenge chest opening sound, playful wooden chest open with social sparkle, warm chime and friendly reward feel, cozy puzzle style, under 1.5 seconds.",todo,
105,event_chest_open,Event chest open,Chests,Chests,1.6,under 1.6 seconds,false,"Event chest open. Create an event chest opening sound, festive golden sparkle with soft wooden chest creak and warm seasonal magic, cozy puzzle style, under 1.6 seconds.",todo,
106,rare_chest_open,Rare chest open,Chests,Chests,2,under 2 seconds,false,"Rare chest open. Create a rare reward chest opening sound, richer wooden chest creak with magical golden sparkle burst and warm payoff chime, premium cozy puzzle style, under 2 seconds.",todo,
107,daily_reward_open,Daily reward open,Daily streak,Daily_Streak,1,under 1 seconds,false,"Daily reward open. Create a daily reward panel opening sound, warm magical UI reveal with soft sparkles and cozy forest tone, mobile puzzle style, under 1 second.",todo,
108,daily_reward_claim,Daily reward claim,Daily streak,Daily_Streak,1,under 1 seconds,false,"Daily reward claim. Create a daily reward claim sound, satisfying short chime with coins, sparkles and warm positive energy, cozy mobile puzzle style, under 1 second.",todo,
109,daily_streak_day_tick,Daily streak day tick,Daily streak,Daily_Streak,0.5,under 0.5 seconds,false,"Daily streak day tick. Create a daily streak day tick sound, small calendar-like soft tap with warm sparkle, cozy mobile puzzle reward style, under 0.5 seconds.",todo,
110,daily_streak_complete,Daily streak complete,Daily streak,Daily_Streak,2,under 2 seconds,false,"Daily streak complete. Create a daily streak complete sound, cheerful rising sequence of soft chimes and sparkles, rewarding but not overwhelming, cozy puzzle game style, under 2 seconds.",todo,
