"audio_id","file_name","source_path","target_path","category","status","notes"
"audio_0039","Vine Hit. Create A Vine Blocker Hit Sound, Soft Plant Fiber Tension With Leaf.mp3","BUX2\sound\Blockers\Vine Hit. Create A Vine Blocker Hit Sound, Soft Plant Fiber Tension With Leaf.mp3","Assets\BUX\Audio\SFX\Blockers\Vine Hit. Create A Vine Blocker Hit Sound, Soft Plant Fiber Tension With Leaf.mp3","Audio/SFX/Blockers","copied","Matched blocker keyword"
"audio_0005","Board Hint. Create A Soft Hint Sound For A Cozy Match-3 Puzzle Game, Gentle S.mp3","BUX2\sound\Board Hint. Create A Soft Hint Sound For A Cozy Match-3 Puzzle Game, Gentle S.mp3","Assets\BUX\Audio\SFX\Board\Board Hint. Create A Soft Hint Sound For A Cozy Match-3 Puzzle Game, Gentle S.mp3","Audio/SFX/Board","copied","Matched board keyword"
"audio_0006","Board Shuffle. Create A Board Shuffle Sound For A Cozy Forest Match-3 Game, M.mp3","BUX2\sound\Board Shuffle. Create A Board Shuffle Sound For A Cozy Forest Match-3 Game, M.mp3","Assets\BUX\Audio\SFX\Board\Board Shuffle. Create A Board Shuffle Sound For A Cozy Forest Match-3 Game, M.mp3","Audio/SFX/Board","copied","Matched board keyword"
"audio_0013","Invalid Tile Swap. Create A Friendly Invalid Move Sound For A Cozy Mobile Puz.mp3","BUX2\sound\Invalid Tile Swap. Create A Friendly Invalid Move Sound For A Cozy Mobile Puz.mp3","Assets\BUX\Audio\SFX\Board\Invalid Tile Swap. Create A Friendly Invalid Move Sound For A Cozy Mobile Puz.mp3","Audio/SFX/Board","copied","Matched board keyword"
"audio_0023","Tile Deselect. Create A Very Short Tile Deselect Sound For A Cozy Match-3 For.mp3","BUX2\sound\Tile Deselect. Create A Very Short Tile Deselect Sound For A Cozy Match-3 For.mp3","Assets\BUX\Audio\SFX\Board\Tile Deselect. Create A Very Short Tile Deselect Sound For A Cozy Match-3 For.mp3","Audio/SFX/Board","copied","Matched board keyword"
"audio_0024","Tile Falling. Create A Soft Tile Falling Sound For A Cozy Match-3 Puzzle Game.mp3","BUX2\sound\Tile Falling. Create A Soft Tile Falling Sound For A Cozy Match-3 Puzzle Game.mp3","Assets\BUX\Audio\SFX\Board\Tile Falling. Create A Soft Tile Falling Sound For A Cozy Match-3 Puzzle Game.mp3","Audio/SFX/Board","copied","Matched board keyword"
"audio_0025","Tile Landing. Create A Soft Tile Landing Sound For A Cozy Match-3 Game, Round.mp3","BUX2\sound\Tile Landing. Create A Soft Tile Landing Sound For A Cozy Match-3 Game, Round.mp3","Assets\BUX\Audio\SFX\Board\Tile Landing. Create A Soft Tile Landing Sound For A Cozy Match-3 Game, Round.mp3","Audio/SFX/Board","copied","Matched board keyword"
"audio_0026","Tile Return. Create A Short Tile Return Sound For An Invalid Match-3 Swap, So.mp3","BUX2\sound\Tile Return. Create A Short Tile Return Sound For An Invalid Match-3 Swap, So.mp3","Assets\BUX\Audio\SFX\Board\Tile Return. Create A Short Tile Return Sound For An Invalid Match-3 Swap, So.mp3","Audio/SFX/Board","copied","Matched board keyword"
"audio_0027","Tile Select. Create A Very Short Tile Selection Sound For A Cozy Match-3 Fore.mp3","BUX2\sound\Tile Select. Create A Very Short Tile Selection Sound For A Cozy Match-3 Fore.mp3","Assets\BUX\Audio\SFX\Board\Tile Select. Create A Very Short Tile Selection Sound For A Cozy Match-3 Fore.mp3","Audio/SFX/Board","copied","Matched board keyword"
"audio_0028","Tile Swap. Create A Short Tile Swap Sound For A Match-3 Mobile Game, Gentle S.mp3","BUX2\sound\Tile Swap. Create A Short Tile Swap Sound For A Match-3 Mobile Game, Gentle S.mp3","Assets\BUX\Audio\SFX\Board\Tile Swap. Create A Short Tile Swap Sound For A Match-3 Mobile Game, Gentle S.mp3","Audio/SFX/Board","copied","Matched board keyword"
"audio_0029","Valid Tile Swap. Create A Short Valid Tile Swap Sound For A Cozy Match-3 Game.mp3","BUX2\sound\Valid Tile Swap. Create A Short Valid Tile Swap Sound For A Cozy Match-3 Game.mp3","Assets\BUX\Audio\SFX\Board\Valid Tile Swap. Create A Short Valid Tile Swap Sound For A Cozy Match-3 Game.mp3","Audio/SFX/Board","copied","Matched board keyword"
"audio_0123","24. Short Friend Challenge Sent Sound For A Cozy Magical Forest Puzzle Game.mp3","BUX2\sound\unsorted\24. Short Friend Challenge Sent Sound For A Cozy Magical Forest Puzzle Game.mp3","Assets\BUX\Audio\SFX\Challenge\24. Short Friend Challenge Sent Sound For A Cozy Magical Forest Puzzle Game.mp3","Audio/SFX/Challenge","copied","Matched challenge keyword"
"audio_0078","24_challenge_sent.mp3","BUX2\sound\renamed_suno_sounds\24_challenge_sent.mp3","Assets\BUX\Audio\SFX\Challenge\24_challenge_sent.mp3","Audio/SFX/Challenge","copied","Matched challenge keyword"
"audio_0124","25. Short Friend Challenge Received Notification For A Cozy Magical Forest Pu.mp3","BUX2\sound\unsorted\25. Short Friend Challenge Received Notification For A Cozy Magical Forest Pu.mp3","Assets\BUX\Audio\SFX\Challenge\25. Short Friend Challenge Received Notification For A Cozy Magical Forest Pu.mp3","Audio/SFX/Challenge","copied","Matched challenge keyword"
"audio_0079","25_challenge_received.mp3","BUX2\sound\renamed_suno_sounds\25_challenge_received.mp3","Assets\BUX\Audio\SFX\Challenge\25_challenge_received.mp3","Audio/SFX/Challenge","copied","Matched challenge keyword"
"audio_0125","26. Short Friend Challenge Win Stinger For A Cozy Magical Forest Puzzle Game.mp3","BUX2\sound\unsorted\26. Short Friend Challenge Win Stinger For A Cozy Magical Forest Puzzle Game.mp3","Assets\BUX\Audio\SFX\Challenge\26. Short Friend Challenge Win Stinger For A Cozy Magical Forest Puzzle Game.mp3","Audio/SFX/Challenge","copied","Matched challenge keyword"
"audio_0080","26_challenge_win.mp3","BUX2\sound\renamed_suno_sounds\26_challenge_win.mp3","Assets\BUX\Audio\SFX\Challenge\26_challenge_win.mp3","Audio/SFX/Challenge","copied","Matched challenge keyword"
"audio_0126","27. Short Friend Challenge Lose Stinger For A Cozy Magical Forest Puzzle Game.mp3","BUX2\sound\unsorted\27. Short Friend Challenge Lose Stinger For A Cozy Magical Forest Puzzle Game.mp3","Assets\BUX\Audio\SFX\Challenge\27. Short Friend Challenge Lose Stinger For A Cozy Magical Forest Puzzle Game.mp3","Audio/SFX/Challenge","copied","Matched challenge keyword"
"audio_0081","27_challenge_lose.mp3","BUX2\sound\renamed_suno_sounds\27_challenge_lose.mp3","Assets\BUX\Audio\SFX\Challenge\27_challenge_lose.mp3","Audio/SFX/Challenge","copied","Matched challenge keyword"
"audio_0127","28. Short Companion Bear Happy Reaction Sound For A Cozy Magical Forest Puzzl.mp3","BUX2\sound\unsorted\28. Short Companion Bear Happy Reaction Sound For A Cozy Magical Forest Puzzl.mp3","Assets\BUX\Audio\SFX\Companion\28. Short Companion Bear Happy Reaction Sound For A Cozy Magical Forest Puzzl.mp3","Audio/SFX/Companion","copied","Matched companion keyword"
"audio_0082","28_bear_happy.mp3","BUX2\sound\renamed_suno_sounds\28_bear_happy.mp3","Assets\BUX\Audio\SFX\Companion\28_bear_happy.mp3","Audio/SFX/Companion","copied","Matched companion keyword"
"audio_0128","29. Short Companion Bear Victory Reaction Sound For A Cozy Magical Forest Puz.mp3","BUX2\sound\unsorted\29. Short Companion Bear Victory Reaction Sound For A Cozy Magical Forest Puz.mp3","Assets\BUX\Audio\SFX\Companion\29. Short Companion Bear Victory Reaction Sound For A Cozy Magical Forest Puz.mp3","Audio/SFX/Companion","copied","Matched companion keyword"
"audio_0083","29_bear_victory.mp3","BUX2\sound\renamed_suno_sounds\29_bear_victory.mp3","Assets\BUX\Audio\SFX\Companion\29_bear_victory.mp3","Audio/SFX/Companion","copied","Matched companion keyword"
"audio_0129","30. Short Companion Bear Worried Reaction Sound For A Cozy Magical Forest Puz.mp3","BUX2\sound\unsorted\30. Short Companion Bear Worried Reaction Sound For A Cozy Magical Forest Puz.mp3","Assets\BUX\Audio\SFX\Companion\30. Short Companion Bear Worried Reaction Sound For A Cozy Magical Forest Puz.mp3","Audio/SFX/Companion","copied","Matched companion keyword"
"audio_0084","30_bear_worried.mp3","BUX2\sound\renamed_suno_sounds\30_bear_worried.mp3","Assets\BUX\Audio\SFX\Companion\30_bear_worried.mp3","Audio/SFX/Companion","copied","Matched companion keyword"
"audio_0040","Bear Paw Impact. Create A Short Bear Paw Impact Sound, Soft Padded Impact Wit.mp3","BUX2\sound\Helper  character tiles\Bear Paw Impact. Create A Short Bear Paw Impact Sound, Soft Padded Impact Wit.mp3","Assets\BUX\Audio\SFX\Companion\Bear Paw Impact. Create A Short Bear Paw Impact Sound, Soft Padded Impact Wit.mp3","Audio/SFX/Companion","copied","Matched companion keyword"
"audio_0041","Bear Paw Swipe. Create A Bear Paw Swipe Sound For A Cozy Match-3 Game, Soft F.mp3","BUX2\sound\Helper  character tiles\Bear Paw Swipe. Create A Bear Paw Swipe Sound For A Cozy Match-3 Game, Soft F.mp3","Assets\BUX\Audio\SFX\Companion\Bear Paw Swipe. Create A Bear Paw Swipe Sound For A Cozy Match-3 Game, Soft F.mp3","Audio/SFX/Companion","copied","Matched companion keyword"
"audio_0042","Bear Tile Match. Create A Short Bear Helper Tile Match Sound For A Cozy Fores.mp3","BUX2\sound\Helper  character tiles\Bear Tile Match. Create A Short Bear Helper Tile Match Sound For A Cozy Fores.mp3","Assets\BUX\Audio\SFX\Companion\Bear Tile Match. Create A Short Bear Helper Tile Match Sound For A Cozy Fores.mp3","Audio/SFX/Companion","copied","Matched companion keyword"
"audio_0043","Bee Fly To Target. Create A Short Bee Flying Helper Sound, Gentle Tiny Wing B.mp3","BUX2\sound\Helper  character tiles\Bee Fly To Target. Create A Short Bee Flying Helper Sound, Gentle Tiny Wing B.mp3","Assets\BUX\Audio\SFX\Companion\Bee Fly To Target. Create A Short Bee Flying Helper Sound, Gentle Tiny Wing B.mp3","Audio/SFX/Companion","copied","Matched companion keyword"
"audio_0045","Bee Pollinate. Create A Short Bee Pollination Sound, Soft Pollen Sparkle Burs.mp3","BUX2\sound\Helper  character tiles\Bee Pollinate. Create A Short Bee Pollination Sound, Soft Pollen Sparkle Burs.mp3","Assets\BUX\Audio\SFX\Companion\Bee Pollinate. Create A Short Bee Pollination Sound, Soft Pollen Sparkle Burs.mp3","Audio/SFX/Companion","copied","Matched companion keyword"
"audio_0046","Bee Tile Match. Create A Short Bee Tile Match Sound, Tiny Friendly Bee Buzz W.mp3","BUX2\sound\Helper  character tiles\Bee Tile Match. Create A Short Bee Tile Match Sound, Tiny Friendly Bee Buzz W.mp3","Assets\BUX\Audio\SFX\Companion\Bee Tile Match. Create A Short Bee Tile Match Sound, Tiny Friendly Bee Buzz W.mp3","Audio/SFX/Companion","copied","Matched companion keyword"
"audio_0117","18. Short Objective Complete Stinger For A Cozy Magical Forest Match-3 Game.mp3","BUX2\sound\unsorted\18. Short Objective Complete Stinger For A Cozy Magical Forest Match-3 Game.mp3","Assets\BUX\Audio\SFX\Objectives\18. Short Objective Complete Stinger For A Cozy Magical Forest Match-3 Game.mp3","Audio/SFX/Objectives","copied","Matched objective keyword"
"audio_0072","18_objective_complete.mp3","BUX2\sound\renamed_suno_sounds\18_objective_complete.mp3","Assets\BUX\Audio\SFX\Objectives\18_objective_complete.mp3","Audio/SFX/Objectives","copied","Matched objective keyword"
"audio_0047","Acorn Nest Complete. Create An Acorn Nest Objective Complete Sound, Warm Natu.mp3","BUX2\sound\objectives\Acorn Nest Complete. Create An Acorn Nest Objective Complete Sound, Warm Natu.mp3","Assets\BUX\Audio\SFX\Objectives\Acorn Nest Complete. Create An Acorn Nest Objective Complete Sound, Warm Natu.mp3","Audio/SFX/Objectives","copied","Matched objective keyword"
"audio_0048","Acorn Nest Fill. Create An Acorn Nest Fill Sound, Small Acorns Dropping Into.mp3","BUX2\sound\objectives\Acorn Nest Fill. Create An Acorn Nest Fill Sound, Small Acorns Dropping Into.mp3","Assets\BUX\Audio\SFX\Objectives\Acorn Nest Fill. Create An Acorn Nest Fill Sound, Small Acorns Dropping Into.mp3","Audio/SFX/Objectives","copied","Matched objective keyword"
"audio_0049","Basket Collect. Create A Basket Collect Sound For A Cozy Match-3 Game, Small.mp3","BUX2\sound\objectives\Basket Collect. Create A Basket Collect Sound For A Cozy Match-3 Game, Small.mp3","Assets\BUX\Audio\SFX\Objectives\Basket Collect. Create A Basket Collect Sound For A Cozy Match-3 Game, Small.mp3","Audio/SFX/Objectives","copied","Matched objective keyword"
"audio_0050","Basket Complete. Create A Basket Objective Complete Sound, Warm Little Chime.mp3","BUX2\sound\objectives\Basket Complete. Create A Basket Objective Complete Sound, Warm Little Chime.mp3","Assets\BUX\Audio\SFX\Objectives\Basket Complete. Create A Basket Objective Complete Sound, Warm Little Chime.mp3","Audio/SFX/Objectives","copied","Matched objective keyword"
"audio_0051","Basket Fill. Create A Basket Fill Sound, Several Tiny Fruit Pieces Settling I.mp3","BUX2\sound\objectives\Basket Fill. Create A Basket Fill Sound, Several Tiny Fruit Pieces Settling I.mp3","Assets\BUX\Audio\SFX\Objectives\Basket Fill. Create A Basket Fill Sound, Several Tiny Fruit Pieces Settling I.mp3","Audio/SFX/Objectives","copied","Matched objective keyword"
"audio_0044","Bee Honey Hit. Create A Short Bee Honey Hit Sound, Tiny Friendly Buzz Landing.mp3","BUX2\sound\Helper  character tiles\Bee Honey Hit. Create A Short Bee Honey Hit Sound, Tiny Friendly Buzz Landing.mp3","Assets\BUX\Audio\SFX\Objectives\Bee Honey Hit. Create A Short Bee Honey Hit Sound, Tiny Friendly Buzz Landing.mp3","Audio/SFX/Objectives","copied","Matched objective keyword"
"audio_0052","Honey Collect. Create A Honey Collect Sound, Warm Sticky Honey Swirl With Sof.mp3","BUX2\sound\objectives\Honey Collect. Create A Honey Collect Sound, Warm Sticky Honey Swirl With Sof.mp3","Assets\BUX\Audio\SFX\Objectives\Honey Collect. Create A Honey Collect Sound, Warm Sticky Honey Swirl With Sof.mp3","Audio/SFX/Objectives","copied","Matched objective keyword"
"audio_0053","Honey Pot Hit. Create A Honey Pot Hit Sound, Soft Ceramic Tap With Sticky Hon.mp3","BUX2\sound\objectives\Honey Pot Hit. Create A Honey Pot Hit Sound, Soft Ceramic Tap With Sticky Hon.mp3","Assets\BUX\Audio\SFX\Objectives\Honey Pot Hit. Create A Honey Pot Hit Sound, Soft Ceramic Tap With Sticky Hon.mp3","Audio/SFX/Objectives","copied","Matched objective keyword"
"audio_0054","Honey Pot Open. Create A Honey Pot Opening Sound, Small Ceramic Lid Pop With.mp3","BUX2\sound\objectives\Honey Pot Open. Create A Honey Pot Opening Sound, Small Ceramic Lid Pop With.mp3","Assets\BUX\Audio\SFX\Objectives\Honey Pot Open. Create A Honey Pot Opening Sound, Small Ceramic Lid Pop With.mp3","Audio/SFX/Objectives","copied","Matched objective keyword"
"audio_0116","17. Short Level Start Stinger For A Cozy Magical Forest Match-3 Game. Light M.mp3","BUX2\sound\unsorted\17. Short Level Start Stinger For A Cozy Magical Forest Match-3 Game. Light M.mp3","Assets\BUX\Audio\SFX\Rewards\17. Short Level Start Stinger For A Cozy Magical Forest Match-3 Game. Light M.mp3","Audio/SFX/Rewards","copied","Matched reward keyword"
"audio_0071","17_level_start.mp3","BUX2\sound\renamed_suno_sounds\17_level_start.mp3","Assets\BUX\Audio\SFX\Rewards\17_level_start.mp3","Audio/SFX/Rewards","copied","Matched reward keyword"
